subset,rul_bucket,rank,sensor_id,symbol,quantity,units,subsystem,total_abs_shap
FD001,overall,1,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.2570818966567472
FD001,overall,2,sensor_14,NRc,Corrected core speed,rpm,Core,0.24142855195672167
FD001,overall,3,sensor_15,BPR,Bypass ratio,—,Performance,0.23315404916743176
FD001,overall,4,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.2236277687416127
FD001,overall,5,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.21321690466357546
FD001,overall,6,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.21193019476769337
FD001,overall,7,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.21060726068724306
FD001,overall,8,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.20786544524965697
FD001,overall,9,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.20398495868142755
FD001,overall,10,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.20254185590851845
FD001,overall,11,sensor_8,Nf,Physical fan speed,rpm,Fan,0.19241342011447707
FD001,overall,12,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.1900535246578114
FD001,overall,13,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.18664709654570555
FD001,overall,14,sensor_9,Nc,Physical core speed,rpm,Core,0.18389617041250636
FD001,overall,15,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.18088669813546776
FD001,mid-life (RUL > 80),1,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.3097080950732313
FD001,mid-life (RUL > 80),2,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.20600738498444127
FD001,mid-life (RUL > 80),3,sensor_14,NRc,Corrected core speed,rpm,Core,0.19603272588183057
FD001,mid-life (RUL > 80),4,sensor_15,BPR,Bypass ratio,—,Performance,0.195273862660822
FD001,mid-life (RUL > 80),5,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.18753260005400021
FD001,mid-life (RUL > 80),6,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.1845282020927546
FD001,mid-life (RUL > 80),7,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.18142639967549162
FD001,mid-life (RUL > 80),8,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.18029889779098937
FD001,mid-life (RUL > 80),9,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.17756120911925533
FD001,mid-life (RUL > 80),10,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.17414894460151445
FD001,mid-life (RUL > 80),11,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.17367895120730342
FD001,mid-life (RUL > 80),12,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.16703766010267573
FD001,mid-life (RUL > 80),13,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.16697512219562446
FD001,mid-life (RUL > 80),14,sensor_8,Nf,Physical fan speed,rpm,Fan,0.16551629575591276
FD001,mid-life (RUL > 80),15,sensor_9,Nc,Physical core speed,rpm,Core,0.15713248961001908
FD001,pre-warning (30 < RUL <= 80),1,sensor_14,NRc,Corrected core speed,rpm,Core,0.24194649530939988
FD001,pre-warning (30 < RUL <= 80),2,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.22085929191769077
FD001,pre-warning (30 < RUL <= 80),3,sensor_15,BPR,Bypass ratio,—,Performance,0.2168396577665761
FD001,pre-warning (30 < RUL <= 80),4,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.20058317130441033
FD001,pre-warning (30 < RUL <= 80),5,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.19700514701365177
FD001,pre-warning (30 < RUL <= 80),6,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.19590296782132205
FD001,pre-warning (30 < RUL <= 80),7,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.19056423808789247
FD001,pre-warning (30 < RUL <= 80),8,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.1902410214803023
FD001,pre-warning (30 < RUL <= 80),9,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.18950918910820758
FD001,pre-warning (30 < RUL <= 80),10,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.18841826274104786
FD001,pre-warning (30 < RUL <= 80),11,sensor_9,Nc,Physical core speed,rpm,Core,0.18820415898105386
FD001,pre-warning (30 < RUL <= 80),12,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.18515480161287728
