subset,model,F1,AUC_ROC,AUC_PR,Precision,Recall
FD001,Isolation Forest,0.777,0.957,0.701,0.734,0.826
FD001,One-Class SVM,0.681,0.926,0.65,0.609,0.773
FD001,Autoencoder,0.437,0.788,0.443,0.388,0.502
FD001,LSTM Autoencoder,0.399,0.671,0.246,0.294,0.618
FD001,Transformer Autoencoder,0.515,0.804,0.595,0.604,0.448
FD002,Isolation Forest,0.83,0.975,0.9,0.811,0.849
FD002,One-Class SVM,0.732,0.937,0.768,0.736,0.728
FD002,Autoencoder,0.533,0.83,0.52,0.532,0.534
FD002,LSTM Autoencoder,0.702,0.908,0.729,0.682,0.723
FD002,Transformer Autoencoder,0.608,0.844,0.663,0.613,0.603
FD003,Isolation Forest,0.665,0.947,0.71,0.544,0.855
FD003,One-Class SVM,0.67,0.941,0.696,0.599,0.76
FD003,Autoencoder,0.58,0.882,0.609,0.564,0.597
FD003,LSTM Autoencoder,0.5,0.754,0.344,0.436,0.587
FD003,Transformer Autoencoder,0.599,0.817,0.642,0.739,0.503
FD004,Isolation Forest,0.762,0.973,0.856,0.714,0.817
FD004,One-Class SVM,0.737,0.957,0.789,0.747,0.728
FD004,Autoencoder,0.564,0.869,0.578,0.525,0.609
FD004,LSTM Autoencoder,0.749,0.954,0.749,0.704,0.801
FD004,Transformer Autoencoder,0.747,0.936,0.8,0.748,0.747
